"code_id","orderid","itemid","nama_pengguna","produk","review","rating","waktu_transaksi"
"10212067482_1725521920_1234374091",178776298218474,10212067482,a*****7,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"",5,"2024-09-05 14:38:00"
"10212067482_1725535934_741921251",179056221237693,10212067482,hamdani_1975,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"Kompatibilitas:untuk Vario 125  led
Keaslian:bagus
Desain:bagsu

Pengiriman cepat sampai nya,belum di pasang,mudah2 Han pas ukuran nya",5,"2024-09-05 18:32:00"
"10212067482_1725540697_905099008",178966417295393,10212067482,fikrirustandi857,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"",4,"2024-09-05 19:51:00"
"10212067482_1725541362_1054020405",179050293252274,10212067482,u8_iw6zsxm,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"",5,"2024-09-05 20:02:00"
"10212067482_1725603103_1185262785",172654382266516,10212067482,rayensetiawan950,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"",5,"2024-09-06 13:11:00"
"10212067482_1725668597_1235285032",178866462278133,10212067482,p5wecwerfs,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"",5,"2024-09-07 07:23:00"
"10212067482_1725703614_298637248",179159283227587,10212067482,risangaji19,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"",5,"2024-09-07 17:06:00"
"10212067482_1725712886_1296816200",179225532248547,10212067482,lucky.alamsya,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"",5,"2024-09-07 19:41:00"
"10212067482_1725741606_332280423",178363578299247,10212067482,khaira010895,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"",5,"2024-09-08 03:40:00"
"10212067482_1725772524_622231487",178987727275182,10212067482,ricakiram,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"Kompatibilitas:rx king
Keaslian:oke
Desain:mantap

Okeeee laaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahhhhhhhhhhhhhhhhhhhhhhh",5,"2024-09-08 12:15:00"
"10212067482_1725776659_220097624",179375950233078,10212067482,jhonavia,Baut probolt M 6x15 drat 10 model SPIRAL PAYUNG stainless original Heng Thailand,"",5,"2024-09-08 13:24:00"
